,id,title,abstract,pillar,research_category,truncated,LR,SVC,MLP
1436,CN-121925479-A,Inhibitors of cell envelope proteases from lactic acid bacteria,"The present disclosure is a screening procedure that allows identification of inhibitors of Cellular Envelope Proteases (CEPs) in pathogenic bacteria by using Lactic Acid Bacteria (LAB). The screening platform can be used to screen libraries of compounds to generate a high throughput evaluation of drug candidates, and as exemplified below, a single screening result of 6808 compounds identified 20 compounds that inhibited CEP of lactococcus lactis (Lactococcus lactis).
    ",PB,Strain development,False,True,False,False
75,EP-4529958-A3,CONTROLLABLE TRANSCRIPTION,"The present invention relates to a stable method for introducing at least one inducible cassette into a cell, and permitting controllable transcription from within that inducible cassette. The method may be used for any cell type, from any eukaryotic organism, but has a particular application in the introduction of inducible cassettes into pluripotent stem cells, such as animal or human pluripotent stem cells (hPSCs). The inducible cassette is controllably inserted in such a way to ensure that the genetic material it contains is not silenced or subject to negative influences from the insertion site, and transcription of the genetic material is controlled.
",CM,Cell line development ,False,True,False,False
659,JP-2024540098-A,Valuing vegetable sidestreams,"The present invention relates to a method for valorizing vegetable sidestreams, the method comprising: (a) mixing vegetables with a composition comprising Lactobacillus reuteri; and (b) fermenting the mixture, thereby obtaining a vegetable paste. Fermentation takes only 24-44 hours and does not require the addition of water, heat or nutrients.",PB,Ingredient optimisation,False,True,False,False
1977,WO-2025228962-A1,VEGETARIAN RASHER COMPRISING MUSCLE TISSUE AND FAT TISSUE MIMETIC PHASES WITH HIGH CONTRAST,"The invention relates to a vegetarian rasher comprising at least two differently coloured water-continuous phases that are distinguishable to the human naked eye, including 15-65 wt.% by weight of the vegetarian rasher of a pale phase and 35-85 wt.% by weight of the vegetarian rasher of a reddish phase, said reddish phase containing: &#8226; (a) lycopene in a concentration of 10-150 mg per kg of reddish phase; and &#8226; (b) cyanidin-glycoside derived from black carrot extract in a concentration of 100-1500 mg per kg of reddish phase.",PB,End product formulation,False,True,False,False
2337,WO-2025209935-A1,FLAVOUR MODIFYING INGREDIENT,"The present disclosure relates to a method for making a flavour modifying ingredient for a carbonated soft drink, wherein the method comprises (i) subjecting tomato pomace to enzymatic hydrolysis and/or fermentation to form a treated tomato pomace; and (ii) extracting at least a portion of the treated tomato pomace with a solvent. The present disclosure also relates to flavour compositions and beverages comprising the flavour modifying ingredients in amounts effective to improve the sweetness, mouthfeel and/or taste of beverages.",PB,Ingredient optimisation,False,True,False,True
466,US-20220049376-A1,DEVICE AND METHOD FOR PRODUCING POLYMER FIBERS AND ITS USES THEREOF,A device including one or more nozzles having a tubular fiber spinning needle and method for producing non-toxic polymer fibers and microfibrous and nanofibrous polymer materials made thereof on a small to large scale using a wide range of synthetic polymers and bio-based polymers. The device and method enable continuous in-line production of polymer fibers at a high fiber production rate energy efficiently and safely. The increased polymer fiber production rate is achieved by the at least one nozzle that enables a centrifugal force acting upon the tubular fiber spinning needle causing rotational motion of the tubular fiber spinning needle and higher polymer injection rates per nozzle.,CM,Scaffolding,False,True,False,False
1058,US-20250127199-A1,COMPOSITION COMPRISING A NUTRIENT AND A TASTE MODULATOR,Described herein is a composition including a nutrient and a taste modulator. Also described herein are processes for preparing the composition and consumer products containing the composition.,PB,Ingredient optimisation,False,True,False,False
2448,US-20250270503-A1,"Product, system and method of cell cultivation","The present invention provides products, systems, and methods of cultivation of non-human metazoan cells.",CM,Bioprocess design,False,True,False,False
3,EP-2473058-A1,LACTIC BACTERIUM WITH MODIFIED GALACTOKINASE EXPRESSION FOR TEXTURIZING FOOD PRODUCTS BY OVEREXPRESSION OF EXOPOLYSACCHARIDE,"The present invention relates to a bacterial cell with texturizing property, starter cultures comprising the cell, and dairy products fermented with the starter culture.",PB,Strain development,False,True,False,False
1285,EP-4626253-A1,"PROCESS FOR PRESERVING AND TRANSFORMING ALGAE BY LACTO-FERMENTATION, USE OF THE LACTO-FERMENTED JUICE AND ALGAE OBTAINED ACCORDING TO THE PROCESS","The invention essentially consists of a process for the lacto-fermentation of fresh algae which can be natural or with inoculation with pH control and advantageously under anaerobic conditions and which makes it possible to produce concomitantly ready-to-eat algae in vegetable form and a fermentation juice which can be drunk directly by animals or mixed with animal feed. After the pH is stabilized, the algae and fermented juice that have been obtained are separated.",PB,Ingredient optimisation,False,True,False,False
1212,US-20250101233-A1,STABLE NATURAL COLOURANT,"The present invention relates to stable black and brown compositions and colourants comprising an extract obtained or obtainable from genipap juice. The present invention further relates to the uses of these compositions and colourants, methods of making the compositions and colourants and food products comprising the compositions and colourants.",PB,Ingredient optimisation,False,True,False,False
2420,CN-120505275-A,Method for operating a bioreactor for growing meat and corresponding bioreactor,"A method of operating a bioreactor for growing meat and a corresponding bioreactor. The present invention relates to a method for manufacturing an elongated structure, typically a fiber, preferably a microfiber structure. A method for producing an elongated, for example microfibre structure for growing meat, wherein (a) paste is extruded into a space (58) downstream of a second nozzle plate (22) by means of an extrusion plate (24) having aligned nozzle openings (42, 44) and an adjacent attachment plate (22), (b) the paste located in the space (58) or the attachment plate (22) is hardened, and (c) the paste is extruded continuously by means of the extrusion plate (24) while increasing the distance between the attachment plate (22) and the extrusion plate (22) in the case of the elongated, for example microfibre structure being formed between the plates (22, 24).
    ",CM,Bioprocess design,False,True,False,False
181,US-12108778-B2,Natural creamer with high tolerance to acidity and minerals in beverage,"Natural Creamers for providing whitening and indulgent texture/mouthfeel of beverage and food products are provided. The creamers have long-term stability, high whitening capacity and a pleasant mouthfeel when added to beverage and food, while being free from artificial additives the creamers comprising plant oil and plant proteins, and being further characterized in that the creamers comprise baking soda and citrus fruit juice concentrate, wherein the citrus fruit juice concentrate comprises acid component comprising citric acid and malic acid.",PB,End product formulation,False,True,True,True
1592,PL-440988-A1,Plant product of the sausage type with increased antioxidant potential and method of producing plant product,"The subject of the application is a plant product of the sausage type, containing legume protein, characterized by the fact that it contains a protein-spice mixture and a gelling mixture, where the protein-spice mixture contains pea protein in an amount from 22% to 27% by weight of the product and from 2% up to 3% by weight of the product of microcapsules with anthocyanins, the product containing a protein-spice mixture and a gelling mixture in a weight ratio from 1:25 to 1:2.75. The report also includes how to receive the product.",PB,End product formulation,False,True,False,False
670,US-20250043033-A1,POLYSACCHARIDES RESULTING IN IMPROVED WATER HOLDING CAPACITY OF DAIRY PRODUCTS,"The present invention provides EPS structures, as identified by their repeating unit, the corresponding eps gene clusters and strains producing such EPS which result in the desired combination of water-holding capacity, texture and acidification speed. The invention further provides methods of using the EPS and strains producing such EPS for producing food product.",PB,Ingredient optimisation,False,True,False,False
2377,US-20250381701-A1,METHOD FOR SLICING FOOD PRODUCTS AND SLICING MACHINE,"The disclosure relates to a method for slicing food products formed as product calibers using a slicing machine, comprising: arranging multiple product calibers on a feeding unit, wherein at least two of the product calibers have different lengths, feeding, by the feeding unit, the at least two product calibers along a feeding direction to a cutting unit, and slicing, by the cutting unit, the at least two product calibers into slices to form portions, wherein each portion comprises one or more slices. The method further comprises determining, based on length of at least two product calibers a first slice thickness for a first product caliber of the at least two product calibers and a second slice thickness for a second product caliber of the at least two product calibers, wherein the first product caliber before slicing has a greater length than the second product caliber, and wherein the first slice thickness is determined to be greater than the second slice thickness, so that after slicing an equal number of portions from the first product caliber and the second product caliber a length difference between the first product caliber and the second product caliber is less than before slicing. The disclosure further relates to a slicing machine.",CC,End product formulation,False,True,False,True
969,EP-4583714-A1,GRANULATE COMPRISIG PARTICLES OF FUNGAL BIOMASS,"The invention relates to a particulate proteinaceous composition comprising granules having a protein content of at least 30 wt.% and comprising at least 80 wt.% of particles of fungal biomass, wherein the particle size distribution of the granules meets the following condition: &#183; D50-gml &#8805; 50 &#181;m; Dx-gml representing the weight percentage of the granules having a diameter of less than x &#181;m; wherein the particle size distribution of the particles of fungal biomass comprised in the granules meets the following conditions: &#183; D10-prtcl &#8804; 30 &#181;m; &#183; 2 &#181;m &#8804; D50-gprtcl &#8804; 60 &#181;m; &#183; D90-prtcl &#8804; 150 &#181;m; Dx-prtcl representing the weight percentage of the particles of fungal biomass comprised in the granules that have a diameter of less than x &#181;m; and wherein the ratio D50-grnl : D50-prtcl &#8805; 2.0. The functionality of proteinaceous fungal biomass is enhanced by I) strongly reducing the particle size of the fungal biomass and (ii) agglomerating the fine particles of fungal biomass so obtained into granules.",F,Ingredient optimisation,False,True,False,False
2370,WO-2025219966-A1,"ACTUATOR NOZZLE FOR AEROSOL PACKAGING, AND METHODS OF MAKING AND USING SUCH ACTUATOR NOZZLES AND AEROSOL PACKAGINGS","An actuator nozzle has a lower portion comprising a base configured to connect to a container, and the base includes a lower orifice. The actuator nozzle also has an upper portion including a tapered section on one side of the upper portion, the tapered section tapers inward as the tapered section extends upward from the lower portion, the upper portion further having a substantially vertical section on an opposite side of the upper portion from the tapered section. The actuator nozzle also has an upper orifice in fluid communication with the lower orifice by an interior channel of the actuator nozzle, the upper orifice angled downward from a top of the tapered section of the upper portion to a top of the substantially vertical section of the upper portion.",PB,End product formulation,False,True,False,False
2422,AU-2024200935-A1,Method for operating a bioreactor for cultivated meat and corresponding bioreactor,"#$%^&amp;*AU2024200935A120250828.pdf#####
 
METHOD FOR OPERATING A BIOREACTOR FOR CULTIVATED MEAT AND 
CORRESPONDING BIOREACTOR 
 
ABSTRACT 
 
The invention relates to a method for the manufacturing of an elongated, e.g. microfibril 
structure for the fabrication of cultivated meat, wherein  
(a)  a paste is extruded through an extrusion plate (24) and an adjacent attachment plate 
(22) with aligned nozzle openings (42, 44) into a space (58) downstream of the second 
nozzle plate (22), 
(b) paste located in said space (58) or in the attachment plate (22) is hardened, 
(c) said paste is continued to be extruded through said extrusion plate (24) while the 
distance between the attachment plate (22) and the extrusion plate (22) is increased under 
formation of said elongated, e.g. microfibril structure between said plates (22,24). 
 
 
METHOD FOR OPERATING A BIOREACTOR FOR CULTIVATED MEAT AND
CORRESPONDING BIOREACTOR
ABSTRACT
The invention relates to a method for the manufacturing of an elongated, e.g. microfibril
structure for the fabrication of cultivated meat, wherein
(a) a paste is extruded through an extrusion plate (24) and an adjacent attachment plate
(22) with aligned nozzle openings (42, 44) into a space (58) downstream of the second
nozzle plate (22),
(b) paste located in said space (58) or in the attachment plate (22) is hardened,
(c) said paste is continued to be extruded through said extrusion plate (24) while the
distance between the attachment plate (22) and the extrusion plate (22) is increased under
formation of said elongated, e.g. microfibril structure between said plates (22,24).
Fig 1a
20
24
20
09
35
   
   
14
 F
eb
 2
02
4
M
E
T
H
O
D
 
F
O
R
 
O
P
E
R
A
T
I
N
G
 
A
 
B
I
O
R
E
A
C
T
O
R
 
F
O
R
 
C
U
L
T
I
V
A
T
E
D
 
M
E
A
T
 
A
N
D
C
O
R
R
E
S
P
O
N
D
I
N
G
 
B
I
O
R
E
A
C
T
O
R
2
0
2
4
2
0
0
9
3
5
 
1
4
 
F
e
b
 
2
0
2
4
A
B
S
T
R
A
C
T
T
h
e
 
i
n
v
e
n
t
i
o
n
 
r
e
l
a
t
e
s
 
t
o
 
a
 
m
e
t
h
o
d
 
f
o
r
 
t
h
e
 
m
a
n
u
f
a
c
t
u
r
i
n
g
 
o
f
 
a
n
 
e
l
o
n
g
a
t
e
d
,
 
e
.
g
.
 
m
i
c
r
o
f
i
b
r
i
l
s
t
r
u
c
t
u
r
e
 
f
o
r
 
t
h
e
 
f
a
b
r
i
c
a
t
i
o
n
 
o
f
 
c
u
l
t
i
v
a
t
e
d
 
m
e
a
t
,
 
w
h
e
r
e
i
n
(
a
)
 
a
 
p
a
s
t
e
 
i
s
 
e
x
t
r
u
d
e
d
 
t
h
r
o
u
g
h
 
a
n
 
e
x
t
r
u
s
i
o
n
 
p
l
a
t
e
 
(
2
4
)
 
a
n
d
 
a
n
 
a
d
j
a
c
e
n
t
 
a
t
t
a
c
h
m
e
n
t
 
p
l
a
t
e
(
2
2
)
 
w
i
t
h
 
a
l
i
g
n
e
d
 
n
o
z
z
l
e
 
o
p
e
n
i
n
g
s
 
(
4
2
,
 
4
4
)
 
i
n
t
o
 
a
 
s
p
a
c
e
 
(
5
8
)
 
d
o
w
n
s
t
r
e
a
m
 
o
f
 
t
h
e
 
s
e
c
o
n
d
n
o
z
z
l
e
 
p
l
a
t
e
 
(
2
2
)
,
(
b
)
 
p
a
s
t
e
 
l
o
c
a
t
e
d
 
i
n
 
s
a
i
d
 
s
p
a
c
e
 
(
5
8
)
 
o
r
 
i
n
 
t
h
e
 
a
t
t
a
c
h
m
e
n
t
 
p
l
a
t
e
 
(
2
2
)
 
i
s
 
h
a
r
d
e
n
e
d
,
(
c
)
 
s
a
i
d
 
p
a
s
t
e
 
i
s
 
c
o
n
t
i
n
u
e
d
 
t
o
 
b
e
 
e
x
t
r
u
d
e
d
 
t
h
r
o
u
g
h
 
s
a
i
d
 
e
x
t
r
u
s
i
o
n
 
p
l
a
t
e
 
(
2
4
)
 
w
h
i
l
e
 
t
h
e
d
i
s
t
a
n
c
e
 
b
e
t
w
e
e
n
 
t
h
e
 
a
t
t
a
c
h
m
e
n
t
 
p
l
a
t
e
 
(
2
2
)
 
a
n
d
 
t
h
e
 
e
x
t
r
u
s
i
o
n
 
p
l
a
t
e
 
(
2
2
)
 
i
s
 
i
n
c
r
e
a
s
e
d
 
u
n
d
e
r
f
o
r
m
a
t
i
o
n
 
o
f
 
s
a
i
d
 
e
l
o
n
g
a
t
e
d
,
 
e
.
g
.
 
m
i
c
r
o
f
i
b
r
i
l
 
s
t
r
u
c
t
u
r
e
 
b
e
t
w
e
e
n
 
s
a
i
d
 
p
l
a
t
e
s
 
(
2
2
,
2
4
)
.
F
i
g
 
1
a
1/14
a) b) 5 6 20 9
14 20 4 21 18 7
4 9 12
7
11
5
~ 6 0
13
12 1016
815
17
8 19
13
15
1
2
22 233
3
58 2-2
23
AP
40 22 58
23
32 42 55 32
22
41 31
24 92
43
44 30 57 33
36 24
27
0 27
S
29
0 35
35
29 0 38
28 7
7 28 26
26 34 37 25
FIG. 1
20
24
20
09
35
   
   
14
 F
eb
 2
02
4
1
/
1
4
a
)
b
)
5
6
2
0
9
1
4
2
0
 
4
 
2
1
1
8
7
2
0
2
4
2
0
0
9
3
5
 
1
4
 
F
e
b
 
2
0
2
4
4
9
1
2
7
1
1
5
6
1
3
1
2
1
0
1
6
1
5
8 1
7
8
1
9
1
3
1
5
1
2
K
2
1
3
2
3
3
5
8
2
2
3
4
0
2
2
5
8
2
3
3
2
4
2
5
5
3
2
2
2
4
1
3
1
2
4
9
2
4
3
4
4
3
0
5
7
3
3
3
6
2
4
2
7
1
8
O
2
7
5
2
9
3
5
o
f
3
5
2
9
3
8
2
8
2
8
2
6
2
6
3
4
3
7
2
5
F
I
G
.
 
1",CM,Bioprocess design,True,True,False,False
2035,WO-2025252839-A1,FOOD OR FEED PRODUCT,"The present invention relates to a method for preparing a food or feed product comprising mycoprotein. The method comprises the steps a) of providing an alginate premix, that is comprising alginate and an aqueous solution. The method further comprises a step b) of providing mycoprotein and optionally at least one further ingredient, and at least one of b1) and b2), with b1) the mycoprotein being in unfrozen form, and b2) at least 70% of the total alginate content of the mass of step c) is provided in the form of the alginate premix from step a). In a subsequent step c), the alginate premix from step a), the mycoprotein from step b) and optionally the at least one further ingredient from step 2), are mixed and a mass is obtained. In step d) the mass is shaped and cured, and the food or feed product is obtained.",F,End product formulation,False,True,False,False
1715,EP-4573916-A1,BATCH PRODUCTION OF GRAIN-BASED BEVERAGES,"A method of manufacturing a grain-based beverage for human consumption enables batch production and may implemented in a system of low complexity. The method comprises introducing water, grain material and one or more enzymes into a mixing chamber (10A) of a mixing apparatus (10); operating a mixing device (12) of the mixing apparatus during a first time period to generate a batch of slurry in the mixing chamber; operating, during a second time period after the first time period, a circulation arrangement (13) to transfer the slurry on an external circulation path from the mixing chamber through a homogenization device (16) and back to the mixing chamber; introducing one or more further ingredients into the mixing chamber of the mixing apparatus; and operating the mixing apparatus and/or the circulation arrangement to produce the grain-based beverage based on the slurry and the one or more further ingredients.
",PB,End product formulation,False,True,False,False
1714,WO-2025131891-A1,BATCH PRODUCTION OF GRAIN-BASED BEVERAGES,"A method of manufacturing a grain-based beverage for human consumption enables batch production and may implemented in a system of low complexity. The method comprises introducing water, grain material and one or more enzymes into a mixing chamber (10A) of a mixing apparatus (10); operating a mixing device (12) of the mixing apparatus during a first time period to generate a batch of slurry in the mixing chamber; operating, during a second time period after the first time period, a circulation arrangement (13) to transfer the slurry on an external circulation path from the mixing chamber through a homogenization device (16) and back to the mixing chamber; introducing one or more further ingredients into the mixing chamber of the mixing apparatus; and operating the mixing apparatus and/or the circulation arrangement to produce the grain-based beverage based on the slurry and the one or more further ingredients.",PB,End product formulation,False,True,False,False
1584,US-20260123657-A1,COMPOSITIONS AND METHODS FOR MASKING OFF-NOTES IN CONSUMABLES,"A masking composition for masking non-animal derived protein off-notes is provided. The making composition includes a) a mixture of a Lamiaceae extract together with vitamin C, the extract and the vitamin C having an admixed ratio of from 1:1 to 1:20; b) one or more peptides; c) an extract obtained or obtainable from a plant of the coffea genus; d) an umami-imparting modifier, and e) one or more masking agents selected from the group consisting of fatty acids, terpenes, carbonyls, sulfur compounds, sweet browns, esters, sweeteners, lactones, juice derivatives and combinations thereof.",PB,Ingredient optimisation,False,True,False,False
1832,WO-2025146484-A1,ACCESSORY FOR FILTERING A HOME-MADE BEVERAGE COMPRISING PARTICLES FOR A FROTHER,"The present disclosure relates to an assembly (1, 1', 1'', 1''') for frothing a beverage comprising particles, the assembly (1, 1', 1'', 1''') comprising: a reservoir (4) comprising a wall which defines a cavity (9) for receiving the beverage comprising particles; a conveying duct (3) having a suction end (6), which is fluidically connected to the inside of the cavity, and a discharge end (7), which is intended to be connected to a frothing member (8) for frothing the beverage comprising particles; and a filtering wall (2, 2', 2'') which extends within the cavity (9), at a non-zero distance from the suction end (6), and is configured to filter the beverage comprising particles that circulates from the reservoir (4) to the frothing member (8), before it passes through the suction end (6).",PB,End product formulation,False,True,True,True
1833,FR-3158032-B1,Homemade plant-based beverage filtration accessory for frothing jug,"This disclosure relates to an assembly (1, 1', 1'', 1''') for foaming a plant-based beverage, the assembly (1, 1', 1'', 1''') comprising: a reservoir (4) including a wall delimiting a cavity (9) for receiving the plant-based beverage; a conveying conduit (3) having a suction end (6) fluidically connected to the interior of the cavity and a discharge end (7) intended to be connected to a foaming element (8) for the plant-based beverage; and a filter wall (2, 2', 2'') extending within the cavity (9), at a non-zero distance from the suction end (6), and configured to filter plant-based beverage flowing from the reservoir (4) to the foaming element (8), before it passes through the suction end (6). Figure for the abstract: Fig. 1",PB,End product formulation,False,True,False,True
564,US-12495812-B2,"Lipases, compositions, methods and uses thereof","The present invention relates to a wild-type, non-engineered, microbial lipolytic enzyme with a higher specificity for short-chain fatty acids than for medium to long fatty acids, specially long fatty acids. This invention further relates to a process for preparing a food product, and to the use of the wild-type, non-engineered, microbial lipolytic enzyme.",F,Ingredient optimisation,False,True,False,False
565,US-20230098388-A1,"LIPASES, COMPOSITIONS, METHODS AND USES THEREOF","The present invention relates to a wild-type, non-engineered, microbial lipolytic enzyme with a higher specificity for short-chain fatty acids than for medium to long fatty acids, specially long fatty acids. This invention further relates to a process for preparing a food product, and to the use of the wild-type, non-engineered, microbial lipolytic enzyme.",F,Ingredient optimisation,False,True,False,False
1686,EP-4626249-A1,FOOD PRODUCT,"Disclosed is a method for preparing a food product comprising mycoprotein and a hydrocolloid, such as an alginate. The method comprises preparing a pre-mix by mixing at least a mycoprotein, a plant protein source, an alginate, and water; shaping the pre-mix to form a pre-mix shape; curing a skin part of the pre-mix shape by contacting the pre-mix shape from the outside with a first aqueous solution comprising calcium for a first contact time to obtain a skin-cured pre-mix shape; forming individual shapes from the skin-cured pre-mix shape while substantially preserving the cured skin part; and further curing the individual shapes by contacting the individual shapes with a second aqueous solution comprising calcium for a second contact time. Also disclosed is a food product obtainable by the method.",CC,End product formulation,False,True,True,True
1585,EP-4604742-A1,COMPOSITIONS AND METHODS FOR MASKING OFF-NOTES IN CONSUMABLES,"A masking composition for masking non-animal derived protein off-notes is provided. The making composition includes a) a mixture of a Lamiaceae extract together with vitamin C, the extract and the vitamin C having an admixed ratio of from 1:1 to 1:20; b) one or more peptides; c) an extract obtained or obtainable from a plant of the coffea genus; d) an umami-imparting modifier; and e) one or more masking agents selected from the group consisting of fatty acids, terpenes, carbonyls, sulfur compounds, sweet browns, esters, sweeteners, lactones, juice derivatives and combinations thereof.",PB,Ingredient optimisation,False,True,False,False
2189,WO-2025068049-A1,METHOD OF REDUCING PHYTIC ACID FROM PLANT MATERIAL THROUGH FERMENTATION,"A method for reducing the amount of phytic acid content in a plant material, a plant-derived ingredient for consumables having low or zero phytic acid content, and consumables comprising the ingredient. The plant-derived ingredient may be used to prepare plant-based consumables including plant-based foods and beverages. Methods for preparing consumables comprising the plant-derived ingredient having low phytic acid content are also disclosed. Methods and uses of the ingredient for taste modification in plant-based consumables, improving the mouthfeel properties of plant-based consumables containing the ingredient, and for conferring a health benefit to a subject with the plant-based consumables comprising the ingredient having low or zero phytic acid content.",PB,Ingredient optimisation,False,True,False,False
1913,NL-2037160-B1,Beverage for human consumption and method for producing such a beverage,"SUMMARY A beverage for human consumption comprises a mixture of animal milk and plant milk, fermented from plant material, in a ratio of between 2:3 and 3:2. The taste and mouthfeel of such a mixture are surprisingly similar to those of pure animal milk, and the overall composition is very beneficial in the human diet. However, the land area required for animal feed is significantly smaller, and the emissions from dairy animals for the same amount of beverage are also much lower.",PB,End product formulation,False,False,True,True
1642,WO-2025099224-A1,IMPROVED ENZYME VARIANTS,A polypeptide comprising: a) a chymosin activity with a C/P ratio of clotting activity (C) to proteolytic activity (P) equal to or higher than the C/P ratio of a polypeptide having an amino acid sequence of SEQ ID NO: 2; and b) an alpha-S1-I casein fragment formation activity equal to or higher than the alpha-S1- I casein fragment formation activity of a polypeptide having an amino acid sequence of SEQ ID NO: 2; and/or c) a clotting time at pH 6.1 of equal to or less than the clotting time of a polypeptide having an amino acid sequence of SEQ ID NO: 2.,PB,Ingredient optimisation,False,False,False,True
914,EP-4358739-A1,POWDERED COMPOSITION,"The present invention relates to a powdered composition comprising a carrier comprising a soluble flour, and at least one active ingredient. A method for preparing the composition and flavored products comprising the inventive composition are also objects of the present invention.",PB,Ingredient optimisation,False,False,False,True
2401,WO-2025155486-A1,GENETIC ELIMINATION OF AMMONIA FROM CULTURED MAMMALIAN CELLS,"This disclosure provides methods and compositions for the production of engineered eukaryotic cells wherein the production of both glutaminase isozymes (Gls and Gls2) and asparaginase (Aspg) is reduced such that ammonia production is almost entirely eliminated before stationary phase and substantially decreases it over the course of culture, even when grown in glutamine-containing medium.",CM,Cell line development ,False,False,False,True
2016,WO-2025233496-A1,EDIBLE BEADS,"The present invention relates to an edible bead comprising an outer polysaccharide gel membrane and a filling, wherein the filling comprises at least one fruit derived ingredient in an amount of at least 5wt.% by weight of the filling and at least one soluble dietary fibre and wherein the filling comprises less than 15 wt.% sugars by weight of the filling. The present invention also relates to a process for preparing the edible bead and a product comprising the edible bead.",PB,Ingredient optimisation,False,False,False,True
1761,WO-2025132301-A1,METHOD FOR PREPARING AN AERATED FROZEN PRODUCT,"The invention relates to a method for preparing an aerated frozen product from a mixture of ingredients suitable for preparing an aerated frozen product, wherein said mixture comprises casein in the sole form of non-animal origin.",F,End product formulation,False,False,False,True
1959,EP-4698598-A1,BETALAIN COMPOSITIONS,"The present invention is related to a dye composition comprising components A) and B), wherein A) is one or more dyes comprising a Betalain, specially a betanin and B) comprises one or more of citric acid, ascorbic acid, malic acid and ethylenediaminetetraacetic acid, and at least one salt, as well as the uses of said dye composition and final consumer products comprising said dye composition.",PB,Ingredient optimisation,False,False,False,True
1648,WO-2025099247-A1,METHYLOTROPH BACTERIA AS FOOD AND FEED INGREDIENTS,"The present invention provides the use of a protein composition comprising Methylotroph bacterial biomass or at least one fraction thereof for supplementing or substituting meat proteins in food or feed products. Also provided are food and feed ingredients, food and feed products and methods of making same.",F,Ingredient optimisation,False,False,False,True
2257,FI-20235704-A1,"FIBRE RICH COMPOSITION, METHOD FOR PRODUCING FIBRE RICH COMPOSITION AND FOODSTUFF","The present invention relates to a fiber-rich composition derived from oats, comprising at least 35% dietary fiber and up to 6% carbohydrates by dry weight of the composition. The present invention further relates to a food product comprising a fiber-rich composition derived from oats, and the fiber-rich composition comprises at least 35% dietary fiber and up to 6% carbohydrates by dry weight of the composition. The present invention further relates to a method for preparing a high-fiber composition, which method comprises providing an oat pulp containing dietary fiber and separating the high-fiber composition from the oat pulp.",PB,Ingredient optimisation,False,False,False,True
