Rank,publication_number,application_number,family_id,title,abstract,granted_date,granted_year,publication_date,publication_year,filing_date,year,Expiration date,Expiration year,priority_date,priority_year,Publication type,filing_status,Kind code,jurisdiction,Inventor names,Original assignee names,Current assignee names,GRID IDs,City of Current Assignee,State of Current Assignee,Country of Current Assignee,Funder,Funder Group,Funder Country,UIDs of supporting grants,Grant IDs,Patent citations,Dimensions URL,Fields of Research (ANZSRC 2020),RCDC Categories,HRCS HC Categories,HRCS RAC Categories,Health Research Areas,Broad Research Areas,Cancer Types,CSO Categories,IPCR,cpc,id,scope,pillar,research_category,endproduct,ingredient,subpillar
181,HU-E069478-T2,HUE21844745,79730115,METHOD FOR PRODUCING A MILK REPLACEMENT PRODUCT,NA,NA,NA,2025-03-28,2025,2021-12-28,2021,NA,NA,2021-02-26,2021,N/A,N/A,T2,HU,MALLINOWSKI IVAN,MALLINOWSKI IVAN,NA,NA,NA,NA,Germany,NA,NA,NA,NA,NA,NA,https://app.dimensions.ai/details/patent/HU-E069478-T2,NA,NA,NA,NA,NA,NA,NA,NA,A23L11/60; A23C11/10; A23L11/65; A47J31/18; A47J31/42,B01F27/808; B01F35/717613; B01F2035/99; A23C11/103; B01F35/187; B01F35/91; B01F27/90; B01D39/10; A47J31/40; B01F23/53; A47J31/18; A23L11/65; A23C11/10; A47J31/42; B01F23/51; A23L11/60; B01F2101/06,HU-E069478-T2,in,PB,End product formulation,Milk and milk proteins,NA,NA
32,IL-305396-B2,IL30539623A,79730115,METHOD AND DEVICE FOR PRODUCING A SUSPENSION,NA,NA,NA,2025-03-01,2025,2023-08-22,2023,NA,NA,2021-02-26,2021,N/A,N/A,B2,IL,MALLINOWSKI IVAN; MALLINOWSKI IVAN,MALLINOWSKI IVAN,NA,NA,NA,NA,Germany,NA,NA,NA,NA,NA,NA,https://app.dimensions.ai/details/patent/IL-305396-B2,NA,NA,NA,NA,NA,NA,NA,NA,A23L11/60; B01F35/00; B01F27/808; B01F35/90; B01F23/53; B01D39/10; A47J31/18; A23C11/10; A47J31/42; A47J31/40; B01F27/90; A23L11/65; B01F35/71; B01F35/91; B01F23/50,B01F23/51; B01F35/187; B01F27/90; B01F23/53; A23C11/10; A47J31/42; B01F35/717613; A47J31/40; B01F2035/99; B01D39/10; A47J31/18; B01F2101/06; B01F35/91; B01F27/808; A23L11/60; A23C11/103; A23L11/65,IL-305396-B2,in,PB,End product formulation,Milk and milk proteins,NA,NA
170,PL-4277503-T3,PL21844745T,79730115,METHOD FOR PRODUCING A MILK REPLACEMENT PRODUCT,NA,NA,NA,2025-02-10,2025,2021-12-28,2021,NA,NA,2021-02-26,2021,N/A,N/A,T3,PL,MALLINOWSKI IVAN,MALLINOWSKI IVAN,NA,NA,NA,NA,Germany,NA,NA,NA,NA,NA,NA,https://app.dimensions.ai/details/patent/PL-4277503-T3,NA,NA,NA,NA,NA,NA,NA,NA,A23C11/10; A47J31/42; A23L11/65; A23L11/60; A47J31/18,A23L11/65; B01D39/10; A23L11/60; B01F27/808; A47J31/18; B01F35/91; B01F35/717613; A47J31/40; B01F27/90; B01F2101/06; B01F23/51; A23C11/103; A23C11/10; B01F23/53; B01F35/187; B01F2035/99; A47J31/42,PL-4277503-T3,in,PB,End product formulation,Milk and milk proteins,NA,NA
212,EP-4596577-A3,EP25175113.7,79927393,MEAT SUBSTITUTE COMPRISING ANIMAL MYOGLOBIN,"Described herein is a meat substitute or food ingredient comprising an animal myoglobin protein, gene construct comprising a nucleic acid encoding said protein, a host cell comprising said gene construct and a method for producing said myoglobin or said meat substitute.",NA,NA,2025-10-29,2025,2021-12-30,2021,NA,NA,2020-12-31,2020,Application,Pending,A3,EP,SANCTORUM HERMES; DE JONG ANDY,Paleo BV,Paleo BV,grid.1082437.3b,Diest,NA,Belgium,NA,NA,NA,NA,NA,NA,https://app.dimensions.ai/details/patent/EP-4596577-A3,"30 Agricultural, Veterinary and Food Sciences; 30 Agricultural, Veterinary and Food Sciences; 3003 Animal Production; 31 Biological Sciences",Genetics,NA,NA,NA,Basic Science,NA,NA,C12N15/82; A23J3/26; C12R1/84; C07K14/805; A23L13/40; A23J3/22,C07K14/805; A23L33/17; A23J3/227; A23L13/426; A23L13/43; A23J3/04; A23L13/424; A23J1/008; C12R2001/84; A23J3/26,EP-4596577-A3,in,F,Target molecule selection,Meat,Flavours and aromas,PF
212,ZA-202306560-B,ZA2023/06560,79927393,MEAT SUBSTITUTE COMPRISING ANIMAL MYOGLOBIN,"Described herein is a meat substitute or food ingredient comprising an animal myoglobin protein, gene construct comprising a nucleic acid encoding said protein, a host cell comprising said gene construct and a method for producing said myoglobin or said meat substitute.",NA,NA,2025-09-25,2025,2023-06-26,2023,NA,NA,2020-12-31,2020,N/A,N/A,B,ZA,Hermes SANCTORUM; Andy DE JONG,PALEO B V,NA,grid.1082437.3b,Diest,Flanders,Belgium,NA,NA,NA,NA,NA,NA,https://app.dimensions.ai/details/patent/ZA-202306560-B,"30 Agricultural, Veterinary and Food Sciences; 30 Agricultural, Veterinary and Food Sciences; 3003 Animal Production; 31 Biological Sciences",Genetics,NA,NA,NA,Basic Science,NA,NA,NA,A23J3/26; C07K14/805; A23L13/424; A23L33/17; A23J3/227; C12R2001/84; A23L13/426; A23J3/04; A23J1/008; A23L13/43,ZA-202306560-B,in,F,Target molecule selection,Meat,Flavours and aromas,PF
120,KR-20250130711-A,KR1020257027970,79927393,Meat substitute comprising animal myoglobin,"Disclosed herein are meat substitutes or food ingredients comprising animal myoglobin protein, genetic constructs comprising nucleic acids encoding said protein, host cells comprising said genetic constructs, and methods for producing said myoglobin or said meat substitute.",NA,NA,2025-09-02,2025,2021-12-30,2021,NA,NA,2020-12-31,2020,Application,Pending,A,KR,SANCTORUM HERMES; DE JONG ANDY,PALEO B V,NA,grid.1082437.3b,Diest,Flanders,Belgium,NA,NA,NA,NA,NA,NA,https://app.dimensions.ai/details/patent/KR-20250130711-A,"30 Agricultural, Veterinary and Food Sciences; 30 Agricultural, Veterinary and Food Sciences; 3003 Animal Production; 31 Biological Sciences",Genetics,NA,NA,NA,Basic Science,NA,NA,A23J3/22; C07K14/805; A23J3/26,C12R2001/84; A23J3/227; C07K14/805; A23L13/426; A23L13/424; A23J1/008; A23J3/26; A23J3/04; A23L33/17; A23L13/43,KR-20250130711-A,in,F,Target molecule selection,Meat,Flavours and aromas,PF
135,EP-4596577-A2,EP25175113.7,79927393,MEAT SUBSTITUTE COMPRISING ANIMAL MYOGLOBIN,"Described herein is a meat substitute or food ingredient comprising an animal myoglobin protein, gene construct comprising a nucleic acid encoding said protein, a host cell comprising said gene construct and a method for producing said myoglobin or said meat substitute.",NA,NA,2025-08-06,2025,2021-12-30,2021,NA,NA,2020-12-31,2020,Application,Pending,A2,EP,SANCTORUM HERMES; DE JONG ANDY,Paleo BV,Paleo BV,grid.1082437.3b,Diest,NA,Belgium,NA,NA,NA,NA,NA,NA,https://app.dimensions.ai/details/patent/EP-4596577-A2,"30 Agricultural, Veterinary and Food Sciences; 30 Agricultural, Veterinary and Food Sciences; 3003 Animal Production; 31 Biological Sciences",Genetics,NA,NA,NA,Basic Science,NA,NA,C07K14/805,C07K14/805; C12R2001/84; A23L13/424; A23J1/008; A23L13/43; A23L33/17; A23J3/26; A23J3/227; A23L13/426; A23J3/04,EP-4596577-A2,in,F,Target molecule selection,Meat,Flavours and aromas,PF
116,AU-2025200277-A1,AU2025200277,79927393,MEAT SUBSTITUTE COMPRISING ANIMAL MYOGLOBIN,"Described herein is a meat substitute or food ingredient comprising an animal myoglobin protein, 
gene construct comprising a nucleic acid encoding said protein, a host cell comprising said gene 
5 construct and a method for producing said myoglobin or said meat substitute.  
21445281_1 (GHMatters) P122307.AU.1",NA,NA,2025-01-30,2025,2025-01-14,2025,NA,NA,2020-12-31,2020,Application,Pending,A1,AU,SANCTORUM HERMES; DE JONG ANDY,Paleo BV,Paleo BV,grid.1082437.3b,Diest,NA,Belgium,NA,NA,NA,NA,NA,NA,https://app.dimensions.ai/details/patent/AU-2025200277-A1,"30 Agricultural, Veterinary and Food Sciences; 30 Agricultural, Veterinary and Food Sciences; 3003 Animal Production; 31 Biological Sciences",NA,NA,NA,NA,Basic Science,NA,NA,A23L13/40; A23J3/22; C07K14/805; A23J3/06,A23L13/43; A23L13/424; A23J1/008; A23L13/426; A23J3/26; C12R2001/84; A23J3/04; C07K14/805; A23J3/227; A23L33/17,AU-2025200277-A1,in,F,Target molecule selection,Meat,Flavours and aromas,PF
148,US-12507705-B2,US17155978,80001327,Systems and methods for making plant-based cheese: “plantly”,"Systems and methods for preparing plant-based cheese comprise preparing a plant-based cheese mixture, transferring the plant-based to a heat exchanger, heat treating* and cooling the plant-based mixture, dynamically mixing additional ingredients, possible homogenizing the plant-based cheese mixture, and packaging the homogenized plant-based cheese product. In embodiments, heat treatment can occur between 85-95° C. and cooling occurs at 65-70° C. Homogenization can occur before or after heat treatment. A related cheese making apparatus is also disclosed.",2025-12-30,2025,2025-12-30,2025,2021-01-22,2021,2041-09-25,2041,2021-01-22,2021,Grant,Active,B2,US,SHAH PRANAV; LEROY THOMAS; FERRE SEBASTIAN,SPX Flow Technology Danmark AS,SPX Flow Technology Danmark AS,grid.751887.4,Silkeborg,NA,Denmark,NA,NA,NA,NA,NA,NA,https://app.dimensions.ai/details/patent/US-12507705-B2,"30 Agricultural, Veterinary and Food Sciences; 30 Agricultural, Veterinary and Food Sciences; 3006 Food Sciences",NA,NA,NA,NA,NA,NA,NA,A23L11/40; A23C20/02,A23C20/02; A23C2250/054; A23L11/40; A23L11/50; C12Y203/02013; A23C20/00; A23C20/025; A23C2250/052,US-12507705-B2,in,PB,End product formulation,Cheese,NA,NA
260,SA-122430578-B1,SA122430578,80001327,SYSTEMS AND METHODS FOR MAKING PLANT-BASED CHEESE: ‘'PLANTLY'',"Systems and methods for preparing plant-based cheese comprise preparing a plant-based cheese mixture, transferring the plant-based to a heat exchanger, heat treating* and cooling the plant-based mixture, dynamically mixing additional ingredients, possible homogenizing the plant-based cheese mixture, and packaging the homogenized plant-based cheese product. In embodiments, heat treatment can occur between 85-95° C and cooling occurs at 65-70° C. Homogenization can occur before or after heat treatment. A related cheese making apparatus is also disclosed. Fig.1",NA,NA,2025-01-09,2025,2022-01-22,2022,NA,NA,2021-01-22,2021,N/A,N/A,B1,SA,SEBASTIAN FERRE; THOMAS LEROY; Pranav Shah,SPX FLOW TECH DANMARK A/S,NA,grid.751887.4,Silkeborg,Central Jutland,Denmark,NA,NA,NA,NA,NA,NA,https://app.dimensions.ai/details/patent/SA-122430578-B1,"30 Agricultural, Veterinary and Food Sciences; 30 Agricultural, Veterinary and Food Sciences; 3006 Food Sciences",NA,NA,NA,NA,NA,NA,NA,NA,A23L11/50; A23L11/40; A23C2250/052; A23C20/02; A23C20/00; A23C2250/054; A23C20/025; C12Y203/02013,SA-122430578-B1,in,PB,End product formulation,Cheese,NA,NA
34,US-20250143334-A1,US18726095,80001347,LIQUID OAT COMPOSITION AND METHOD FOR PRODUCTION THEREOF,"The disclosure concerns a liquid oat composition for coffee or tea whitening. The liquid oat composition comprises an oat derived material with 5-20% by weight dry substance, based on the weight of the liquid oat composition. According to the disclosure, the liquid oat composition has an oat protein deamidation degree of at least 10%. A method for production thereof is also disclosed.",NA,NA,2025-05-08,2025,2021-12-30,2021,NA,NA,2021-12-30,2021,Application,Pending,A1,US,JOHANSSON LINDA; ULMIUS STORM MATILDA; PETERSSON KARIN; EHLDE SOFIA,Oatly AB,Oatly AB,grid.451900.9,Malmö; Malmo,NA,Sweden,NA,NA,NA,NA,NA,NA,https://app.dimensions.ai/details/patent/US-20250143334-A1,"30 Agricultural, Veterinary and Food Sciences; 3003 Animal Production; 31 Biological Sciences",NA,NA,NA,NA,NA,NA,NA,A23L7/104; A23J3/14; A23J3/34; A23L9/20; A23C11/10,A23L9/24; A23J3/346; A23V2002/00; A23C11/10; A23J1/125; A23L7/107; A23J3/14,US-20250143334-A1,in,PB,End product formulation,Milk and milk proteins,NA,NA
8,US-20250066320-A1,US18722561,80001523,"Active Ingredients with Sialagogue and Tingling/Fizzy Effect, and Preparations Containing Same","The present invention is in the field of flavoring agents and relates to new representatives of this group, in particular active ingredients with a mouth-watering effect, the use of these active ingredients and preparations comprising them, preferably preparations for nutrition, enjoyment or oral hygiene or oral pharmaceutical preparations.",NA,NA,2025-02-27,2025,2021-12-23,2021,NA,NA,2021-12-23,2021,Application,Pending,A1,US,HENTSCHEL FABIA; WIEDWALD BERND; PAETZ SUSANNE; SIMCHEN ULRIKE; BACKES MICHAEL; MINAKAR JUDITH,Symrise AG,Symrise AG,grid.480394.2,Holzminden,NA,Germany,NA,NA,NA,NA,NA,NA,https://app.dimensions.ai/details/patent/US-20250066320-A1,32 Biomedical and Clinical Sciences; 32 Biomedical and Clinical Sciences; 3203 Dentistry,Dental/Oral and Craniofacial Disease,NA,NA,NA,NA,NA,NA,A61K31/55; A61K31/496; A23L27/20; C07D401/06; C07D211/16; C07D295/192; A61K31/445; A23L27/00; C07D243/08,C07D213/36; A23G1/32; A23L27/2054; C07D243/08; C07D295/192; A61K31/55; C07D317/68; A61K31/496; A23L27/88; C07D401/06; C07D211/16; A61K31/445,US-20250066320-A1,out,NA,NA,NA,NA,NA
21,US-20250049089-A1,US18720719,80112355,SECRETORY IGA-BIOTIC COMPLEXES AND USES THEREOF,"The present invention relates to complexes between secretory immunoglobulin A (sIgA) and biotic including probiotics, their components and/or inanimate preparations of said beneficial bacteria and/or postbiotics to promote controlled immune responses to prevent and/or treat viral infections in a mammal.",NA,NA,2025-02-13,2025,2022-12-20,2022,NA,NA,2021-12-20,2021,Application,Pending,A1,US,NOTI MARIO; FORBES-BLOM ELIZABETH; VIDAL KARINE; BOURDEAU TRISTAN; LUKJANENKO LAURA,Societe des Produits Nestle SA,Societe des Produits Nestle SA,grid.796691.6,Vevey,NA,Switzerland,NA,NA,NA,NA,NA,NA,https://app.dimensions.ai/details/patent/US-20250049089-A1,32 Biomedical and Clinical Sciences; 32 Biomedical and Clinical Sciences; 3204 Immunology,Infectious Diseases; Prevention,NA,NA,Biomedical,Basic Science,NA,NA,A23L33/135; A23L33/18; A23L33/00,C07K16/12; A23L33/18; A61P31/12; A61K35/747; A61K39/40; A23L33/40; A61P37/00; A23L33/135; A61P31/16; C07K2317/52; A61K35/745,US-20250049089-A1,out,NA,NA,NA,NA,NA
8,US-20250154543-A1,US18722142,80122405,REDUCED PANTOTHENIC ACID LEVELS IN FERMENTATIVE PRODUCTION OF OLIGOSACCHARIDES,"Disclosed are means and methods for the fermentative production of an oligosaccharide of interest by a genetically engineered microbial cell, wherein concomitant biosynthesis of pantothenic acid is reduced or abolished.",NA,NA,2025-05-15,2025,2022-12-15,2022,NA,NA,2021-12-22,2021,Application,Pending,A1,US,FRERIGMANN HENNING; PARSCHAT KATJA; ENGLERT MARKUS; TROETSCHEL CHRISTIAN,Chr Hansen AS,Chr Hansen AS,grid.424026.6,Horsholm; Hørsholm,NA,Denmark,NA,NA,NA,NA,NA,NA,https://app.dimensions.ai/details/patent/US-20250154543-A1,31 Biological Sciences; 31 Biological Sciences; 3106 Industrial Biotechnology,Biotechnology; Genetics,NA,NA,NA,NA,NA,NA,C12P19/04; C12N9/04,C12P19/00; C12N9/0006; C12P19/04; C12Y101/01169; C12N15/70,US-20250154543-A1,out,NA,NA,NA,NA,NA
8,US-20250101372-A1,US18728307,80122846,Streptococcus thermophilus Strains with Improved Texturing Properties,"The invention provides Streptococcus thermophilus mutants, such as DSM22933, which have improved texturizing properties. The strains have: (i) a mutation in the branched chain amino acid transport ATP-binding protein LivG (TC 3.A.1.4.1) gene; (ii) a mutation in the ABC transporter permease protein gene; and/or (iii) a mutation in the peptide deformylase protein gene. The invention, furthermore, relates to compositions, such as a starter culture, comprising one or more of these mutants, to fermented products made using these mutants and to the use of the mutants and compositions of the invention.",NA,NA,2025-03-27,2025,2023-01-25,2023,NA,NA,2022-01-28,2022,Application,Pending,A1,US,JANZEN THOMAS; CHRISTENSEN DITTE ELLEGAARD; BROEND JESPER; TRIHAAS JEORGOS; SERRAULT STEPHANIE,Chr Hansen AS,Chr Hansen AS,grid.424026.6,Horsholm; Hørsholm,NA,Denmark,NA,NA,NA,NA,NA,NA,https://app.dimensions.ai/details/patent/US-20250101372-A1,31 Biological Sciences; 31 Biological Sciences; 3101 Biochemistry and Cell Biology,Genetics,Infection,NA,NA,Basic Science,NA,NA,C12Q1/24; C12N9/80; C12N1/20; A23C9/123; C12R1/46,A23V2400/123; C12N9/80; C07K14/315; A23C2220/202; C12Q1/24; A23C9/1238; A23V2400/249; C12R2001/46; C12N1/20; C12Y305/01088,US-20250101372-A1,in,PB,Strain development,Yoghurt and fermented dairy,NA,NA
197,US-20250280859-A1,US18261706,80225274,METHOD OF MAKING A SEAFOOD ANALOGUE,"The present invention relates to a method of making a seafood analogue, preferably a shrimp analogue, said method comprising preparing a dough by mixing konjac glucomannan and cell wall fiber in water, and adjusting the pH of the dough; preparing gel pieces by heating a portion of the dough to form a gel; cooling the gel and mechanically disrupting to form gel pieces; mixing the gel pieces with the dough to produce a mixture; optionally coloring the mixture; shaping the mixture; heating; and optionally cooling.",NA,NA,2025-09-11,2025,2022-01-21,2022,NA,NA,2021-01-22,2021,Application,Pending,A1,US,WANG YU-JIE; HINRICHS KATHARINA; GIRARDI ALICIA; CHARVE JOSEPHINE ISABELLE MARIE; ZAHID MARIA,Societe des Produits Nestle SA,Societe des Produits Nestle SA,grid.796691.6,Vevey,NA,Switzerland,NA,NA,NA,NA,NA,NA,https://app.dimensions.ai/details/patent/US-20250280859-A1,"30 Agricultural, Veterinary and Food Sciences; 30 Agricultural, Veterinary and Food Sciences; 3006 Food Sciences; 40 Engineering; 4004 Chemical Engineering",NA,NA,NA,NA,NA,NA,NA,A23J3/14; A23L17/00; A23L33/21; A23P30/10; A23L17/60; A23J3/22; A23L29/212; A23L33/185; A23L29/244; A23L33/105,A23L29/244; A23V2200/264; A23L29/212; A23L17/00; A23P30/10; A23L33/185; A23L33/105; A23V2200/14; A23L29/30; A23V2250/5058; A23L33/21; A23L17/70; A23J3/225; A23J3/14; A23V2200/242; A23L33/16; A23L17/60,US-20250280859-A1,in,PB,End product formulation,Fish and seafood,NA,NA
23,US-20250155200-A1,US18839908,80445972,Infusion heater and system for heating a liquid product using saturated steam,"An infusion heater is for heating a liquid product. In operation, the liquid product enters an infusion chamber through an inlet nozzle and travels vertically through the infusion chamber in free fall along the infusion chamber and exits the infusion chamber through a product outlet. The infusion chamber further comprises at least one steam inlet arranged so that in operation steam enters the chamber between the product and the infusion chamber walls. The disclosed infusion heater facilitates that heat exchange between the product and the inner and outer body parts of the inlet nozzle can be better controlled as constant product contact can be established, which reduces the risk of hotspots and thereby burn-ons. In another aspect there is disclosed an air vent arranged in the lower half of the infusion chamber, which facilitates effective venting of air.",NA,NA,2025-05-15,2025,2023-02-20,2023,NA,NA,2022-02-21,2022,Application,Pending,A1,US,KJAERBYE HENRIK; ESTEBAN SEGURA REYES RODRIGO; TOFT MATHIAS DØLRATH,H Kjaerbye Invent Aps,H Kjaerbye Invent Aps,NA,NA,NA,Denmark,NA,NA,NA,NA,NA,NA,https://app.dimensions.ai/details/patent/US-20250155200-A1,40 Engineering; 40 Engineering; 4012 Fluid Mechanics and Thermal Engineering,NA,NA,NA,NA,NA,NA,NA,F28C3/08; B05B1/06; B05B7/00,B05B7/0075; A23B11/1375; A23B70/30; A23B2/48; A23B2/001; A23B11/137; B05B1/06; A23B11/1303; F28C3/08,US-20250155200-A1,out,NA,NA,NA,NA,NA
23,EP-4482313-A1,EP23706584.2,80445972,INFUSION HEATER AND SYSTEM FOR HEATING A LIQUID PRODUCT USING SATURATED STEAM,"Disclosed herein is an infusion heater for heating a liquid product. In operation the liquid product enters an infusion chamber through an inlet nozzle and travels vertically through the infusion chamber in free fall along the infusion chamber and exits the infusion chamber through a product outlet. The infusion chamber further comprises at least one steam inlet arranged so that in operation steam enters the chamber between the product and the infusion chamber walls. The disclosed infusion heater facilitates that heat exchange between the product and the inner and outer body parts of the inlet nozzle can be better controlled as constant product contact can be established, which reduces the risk of hotspots and thereby burn-ons. In another aspect there is disclosed an air vent arranged in the lower half of the infusion chamber, which facilitates effective venting of air.",NA,NA,2025-01-01,2025,2023-02-20,2023,NA,NA,2022-02-21,2022,Application,Pending,A1,EP,KJAERBYE HENRIK; SEGURA REYES RODRIGO ESTEBAN; DØLRATH TOFT MATHIAS,H Kjaerbye Invent Aps,H Kjaerbye Invent Aps,NA,NA,NA,Denmark,NA,NA,NA,NA,NA,NA,https://app.dimensions.ai/details/patent/EP-4482313-A1,40 Engineering; 40 Engineering; 4012 Fluid Mechanics and Thermal Engineering,NA,NA,NA,NA,NA,NA,NA,A23L3/24; A23C3/037; F28C3/08; A23L2/46; A23C3/033; A23L3/00,A23B70/30; A23B11/1375; B05B7/0075; A23B11/137; A23B2/001; F28C3/08; A23B11/1303; A23B2/48; B05B1/06,EP-4482313-A1,out,NA,NA,NA,NA,NA
114,US-20250143350-A1,US18839700,80445989,TEXTURIZED VEGETABLE PROTEIN,"The invention relates to a dry extrusion process for preparing a texturized vegetable protein, to a composition comprising rapeseed protein, a legume-derived protein, and a plant-based fiber, to the use of said composition in the preparation of a meat alternative and to meat alternatives.",NA,NA,2025-05-08,2025,2023-02-16,2023,NA,NA,2022-02-21,2022,Application,Pending,A1,US,SEIN ARJEN; DE LANGE LINDA,DSM IP Assets BV,DSM IP Assets BV,grid.10760.30,Heerlen,NA,Netherlands,NA,NA,NA,NA,NA,NA,https://app.dimensions.ai/details/patent/US-20250143350-A1,"30 Agricultural, Veterinary and Food Sciences; 30 Agricultural, Veterinary and Food Sciences; 3003 Animal Production",NA,NA,NA,NA,NA,NA,NA,A23J3/26; A23J3/14; A23J3/22,A23J3/16; A23J3/227; A23J3/14; A23J3/26,US-20250143350-A1,in,PB,Texturization methods,Meat,NA,NA
120,EP-4482320-A1,EP23704999.4,80445989,TEXTURIZED VEGETABLE PROTEIN,"The invention relates to a dry extrusion process for preparing a texturized vegetable protein comprising extruding a mixture of rapeseed protein, a legume derived protein and calcium carbonate, to a composition comprising rapeseed protein, a legume-derived protein, calcium and a plant-based fiber, to the use of said composition in the preparation of a meat alternative and to meat alternatives. It also relates to the use of calcium carbonate for improving the hydration rate, water holding capacity and/or density of a texturized vegetable protein comprising rapeseed protein.",NA,NA,2025-01-01,2025,2023-02-16,2023,NA,NA,2022-02-21,2022,Application,Pending,A1,EP,SEIN ARJEN; DE LANGE LINDA,DSM IP Assets BV,DSM IP Assets BV,grid.10760.30,Heerlen,NA,Netherlands,NA,NA,NA,NA,NA,NA,https://app.dimensions.ai/details/patent/EP-4482320-A1,"30 Agricultural, Veterinary and Food Sciences; 30 Agricultural, Veterinary and Food Sciences; 3003 Animal Production",NA,NA,NA,NA,NA,NA,NA,A23J3/14; A23J3/26; A23J3/22; A23J3/16,A23J3/26; A23J3/16; A23J3/14; A23J3/227,EP-4482320-A1,in,PB,Texturization methods,Meat,NA,NA
107,US-20250031724-A1,US18723844,80447234,PLANT-BASED COMPOSITION AND PROCESS OF PREPARING THE SAME,The present invention relates to a plant-based composition comprising a mixture comprising: i) a plant base comprising at least 5% w/w of plant protein and at least 1% w/w of fat: ii) at least one endoprotease; and iii) at least one exoprotease.,NA,NA,2025-01-30,2025,2022-12-22,2022,NA,NA,2021-12-24,2021,Application,Pending,A1,US,SPRINGETT MARK; FLOTTES DE POUZOLS LAETITIA; SOUCE MARIE-AGNÈS; DUPORCQ SYLVAIN,Gervais Danone SA,Gervais Danone SA,grid.640972.e,Paris,NA,France,NA,NA,NA,NA,NA,NA,https://app.dimensions.ai/details/patent/US-20250031724-A1,"30 Agricultural, Veterinary and Food Sciences; 31 Biological Sciences; 3108 Plant Biology",Dietary Supplements,NA,NA,NA,NA,NA,NA,A23C11/10; A23J3/34; A23L11/30; A23L11/65; A23J3/16,A23L2/84; A23C11/103; A23J3/346; A23L2/66; A23L11/65; A23L11/33; A23J3/16,US-20250031724-A1,in,PB,End product formulation,Milk and milk proteins,NA,NA
118,US-20250072442-A1,US18723845,80447413,FERMENTED PLANT-BASED COMPOSITIONS AND PROCESSES OF PREPARING THE SAME,"The present invention relates to a plant-based composition comprising a mixture comprising: i) a plant base comprising at least 5% w/w protein, at least 1% w/w fat: ii) at least one protease wherein the plant-based composition has a viscosity greater than 800 mPa·s.",NA,NA,2025-03-06,2025,2022-12-22,2022,NA,NA,2021-12-24,2021,Application,Pending,A1,US,SPRINGETT MARK; FLOTTES DE POUZOLS LAETITIA,Gervais Danone SA,Gervais Danone SA,grid.640972.e,Paris,NA,France,NA,NA,NA,NA,NA,NA,https://app.dimensions.ai/details/patent/US-20250072442-A1,"30 Agricultural, Veterinary and Food Sciences; 31 Biological Sciences; 3108 Plant Biology",NA,NA,NA,NA,NA,NA,NA,C12N9/52; A23J3/16; A23C11/10; C12N9/48; A23J3/34,A23L29/065; C12N9/52; A23L25/40; A23L7/104; C12N9/485; A23J3/16; A23J3/346; A23L29/06; A23J3/14; A23C11/106; A23L11/50,US-20250072442-A1,in,PB,End product formulation,Yoghurt and fermented dairy,NA,NA
14,US-20250114960-A1,US18729971,80447624,"A CUTTING ASSEMBLY, A KNIFE FOR THE CUTTING ASSEMBLY, A COUNTER DEVICE FOR THE CUTTING ASSEMBLY, AND A METHOD OF SLICING FOOD WITH THE CUTTING ASSEMBLY","A cutting assembly for cutting thin slices of non-rigid food objects, includes a circular knife, a counter-structure with a counter-hold, and a movement-structure configured for moving the knife in a cutting-plane relative to the counter-structure with the frontside facing the counter-hold such that a point at which the knife contacts the counter-hold moves along the counter-hold from an enter-point to an exit-point while the food object is cut between the counter-hold and the knife. The knife has a rim frontside defining a cutting angle to the centre axis and a centre backside defining at least one eject angle to the centre axis, the eject angle is smaller than the cutting angle, and the counter-hold is movable relative to the counter-structure such that the counter-hold moves in a direction away from the knife during movement of the knife in the cutting-plane.",NA,NA,2025-04-10,2025,2023-02-09,2023,NA,NA,2022-02-11,2022,Application,Pending,A1,US,TJORNELUND MICHAEL; HUNDTOFTE NIELS BJARNE,Marel AS,Marel AS,grid.669765.d,Aarhus N,NA,Denmark,NA,NA,NA,NA,NA,NA,https://app.dimensions.ai/details/patent/US-20250114960-A1,40 Engineering; 40 Engineering; 4014 Manufacturing Engineering,NA,NA,NA,NA,NA,NA,NA,B26D1/16; B26D1/00; B26D7/00,B26D2001/0053; B26D1/16; B26D7/0006; B26D2210/02; B26D1/0006,US-20250114960-A1,out,NA,NA,NA,NA,NA
